METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Linha¹ ² (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan;17.684;687;448;252;759;;Jan;10.704;432;223;139;495;;;;;;;;;;;;;;;;;;
Fev;18.558;789;476;283;829;;Fev;11.727;512;254;178;548;;;;;;;;;;;;;;;;;;
Mar;20.437;830;459;255;852;;Mar;12.756;535;238;143;558;;;;;;;;;;;;;;;;;;
Abr;21.247;828;494;263;844;;Abr;13.423;536;254;153;557;;;;;;;;;;;;;;;;;;
Mai;20.623;820;486;255;844;;Mai;12.893;533;248;137;557;;;;;;;;;;;;;;;;;;
Jun;19.934;806;493;268;848;;Jun;12.532;521;252;172;547;;;;;;;;;;;;;;;;;;
Jul;19.649;746;507;280;774;;Jul;12.274;484;244;161;515;;;;;;;;;;;;;;;;;;
Ago;21.265;812;480;249;858;;Ago;13.422;529;243;139;558;;;;;;;;;;;;;;;;;;
Set;20.995;833;512;297;874;;Set;13.094;537;250;164;561;;;;;;;;;;;;;;;;;;
Out;22.206;832;478;301;869;;Out;13.971;539;248;152;567;;;;;;;;;;;;;;;;;;
Nov;20.460;847;511;295;879;;Nov;12.668;548;253;153;575;;;;;;;;;;;;;;;;;;
Dez;18.840;765;517;300;888;;Dez;11.419;482;250;165;566;;;;;;;;;;;;;;;;;;
2024;241.897;800;488;275;888;;2024;150.885;516;247;155;575;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan;20.195;786;495;299;890;;Jan;1.575;64;28;20;71;;;;;;;;;;;;;;;;;;
Fev;20.722;872;528;348;908;;Fev;1.733;75;41;23;79;;;;;;;;;;;;;;;;;;
Mar;22.256;900;508;279;936;;Mar;1.901;79;37;21;81;;;;;;;;;;;;;;;;;;
Abr;23.031;894;535;309;923;;Abr;2.043;81;44;23;83;;;;;;;;;;;;;;;;;;
Mai;22.415;886;538;285;917;;Mai;1.992;81;44;22;84;;;;;;;;;;;;;;;;;;
Jun;21.887;879;546;317;919;;Jun;1.919;81;43;17;84;;;;;;;;;;;;;;;;;;
Jul;21.470;821;519;301;861;;Jul;1.914;76;39;22;81;;;;;;;;;;;;;;;;;;
Ago;23.216;882;529;290;928;;Ago;2.144;83;44;22;86;;;;;;;;;;;;;;;;;;
Set;22.585;899;549;321;954;;Set;2.037;85;46;16;88;;;;;;;;;;;;;;;;;;
Out;24.049;894;545;351;926;;Out;2.226;84;45;28;88;;;;;;;;;;;;;;;;;;
Nov;22.098;907;556;334;945;;Nov;2.027;87;47;26;89;;;;;;;;;;;;;;;;;;
Dez;20.679;834;572;340;960;;Dez;1.876;78;47;26;89;;;;;;;;;;;;;;;;;;
2024;264.603;871;535;315;960;;2024;23.384;79;42;22;89;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;;;;;;;;
Jan;50.158;1.969;1.194;711;2.215;;;;;;;;;;;;;;;;;;;;;;;;;
Fev;52.741;2.248;1.299;831;2.348;;;;;;;;;;;;;;;;;;;;;;;;;
Mar;57.350;2.345;1.241;698;2.414;;;;;;;;;;;;;;;;;;;;;;;;;
Abr;59.743;2.339;1.327;748;2.403;;;;;;;;;;;;;;;;;;;;;;;;;
Mai;57.924;2.320;1.316;699;2.388;;;;;;;;;;;;;;;;;;;;;;;;;
Jun;56.271;2.286;1.334;774;2.393;;;;;;;;;;;;;;;;;;;;;;;;;
Jul;55.306;2.127;1.309;764;2.226;;;;;;;;;;;;;;;;;;;;;;;;;
Ago;60.047;2.307;1.296;700;2.424;;;;;;;;;;;;;;;;;;;;;;;;;
Set;58.710;2.353;1.357;799;2.447;;;;;;;;;;;;;;;;;;;;;;;;;
Out;62.452;2.351;1.317;833;2.449;;;;;;;;;;;;;;;;;;;;;;;;;
Nov;57.253;2.388;1.367;808;2.472;;;;;;;;;;;;;;;;;;;;;;;;;
Dez;52.815;2.160;1.386;832;2.459;;;;;;;;;;;;;;;;;;;;;;;;;
2024;680.769;2.266;1.312;766;2.472;;;;;;;;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: Diretoria de Operações/Depto Apoio à Gestão/Coord. Estudos Estatísticos e Informações Estratégicas -14/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
